tag_en,tag_uk,tag_ru
underground,підземне,подземное
military,військове,военное
shaft,вентшахта,вентшахта
religious,релігійне,религиозное
factory,завод,завод
hospital,лікарня,больница
school,школа,школа
prison,тюрма,тюрьма
bunker,бункер,бункер
power-plant,електростанція,электростанция
water-tower,водонапірна вежа,водонапорная башня
railway,залізниця,железная дорога
tunnel,тунель,тунель
bridge,міст,мост
warehouse,склад,склад
hotel,готель,гостиница
theater,театр,театр
cinema,кінотеатр,кинотеатр
stadium,стадіон,стадион
airport,аеропорт,аэропорт
fortress,фортеця,крепость
castle,замок,замок
manor,садиба,усадьба
church,церква,церковь
monastery,монастир,монастырь
synagogue,синагога,синагога
mosque,мечеть,мечеть
cemetery,цвинтар,кладбище
sanatorium,санаторій,санаторий
asylum,психлікарня,психбольница
laboratory,лабораторія,лаборатория
institute,інститут,институт
nuclear,ядерне,ядерное
chemical-plant,хімзавод,химзавод
steel-mill,металургійний завод,металлургический завод
mine,шахта,шахта
quarry,кар'єр,карьер
elevator,елеватор,элеватор
farm,ферма,ферма
barn,амбар,амбар
greenhouse,теплиця,теплица
cooling-tower,градирня,градирня
refinery,нафтопереробний завод,нефтеперерабатывающий завод
shipyard,суднобудівний завод,судостроительный завод
lighthouse,маяк,маяк
firing-range,стрільбище,стрельбище
observatory,обсерваторія,обсерватория
planetarium,планетарій,планетарий
library,бібліотека,библиотека
archive,архів,архив
museum,музей,музей
post-office,поштове відділення,почтовое отделение
bank,банк,банк
police-station,поліцейська дільниця,полицейский участок
fire-station,пожежна станція,пожарная станция
train-station,залізничний вокзал,железнодорожный вокзал
bus-terminal,автобусний термінал,автобусный терминал
port,порт,порт
harbor,гавань,гавань
canal,канал,канал
dam,дамба,дамба
pumping-station,насосна станція,насосная станция
sewage-plant,каналізаційна станція,канализационная станция
substation,підстанція,подстанция
amusement-park,парк розваг,парк развлечений
swimming-pool,басейн,бассейн
sports-hall,спортзал,спортзал
velodrome,велодром,велодром
hippodrome,іподром,ипподром
zoo,зоопарк,зоопарк
aquarium,акваріум,аквариум
shopping-mall,торговий центр,торговый центр
department-store,універмаг,универмаг
market-hall,критий ринок,крытый рынок
office-building,офісна будівля,офисное здание
apartment-block,житловий будинок,жилой дом
villa,вілла,вилла
palace,палац,дворец
bathhouse,лазня,баня
spa,спа,спа
resort,курорт,курорт
cold-war,холодна війна,холодная война
soviet,радянське,советское
industrial,промислове,промышленное
brutalist,брутальне,брутальное
art-nouveau,модерн,модерн
abandoned-village,покинуте село,заброшенная деревня
ghost-town,місто-привид,город-призрак
exclusion-zone,зона відчуження,зона отчуждения
graffiti,графіті,граффити
overgrown,зарослий,заросший
flooded,затоплений,затопленный
fire-damage,пожежа,пожар
collapsed,зруйноване,обрушенное
